Freq.	I(C1)	I(L1)	I(R1)	I(R2)	I(V1)
1.00000000000000e+002	(-3.74488198866432e+001dB,7.60277224744119e+001°)	(-2.16640862662941e+001dB,-7.75170509728027e+000°)	(-3.74488198866432e+001dB,7.60277224744119e+001°)	(-2.16640862662941e+001dB,-7.75170509728023e+000°)	(-2.14044616201680e+001dB,-1.78733193022503e+002°)
1.02329299228075e+002	(-3.72607360226076e+001dB,7.57154438728858e+001°)	(-2.16678082979507e+001dB,-7.92999409351169e+000°)	(-3.72607360226076e+001dB,7.57154438728858e+001°)	(-2.16678082979507e+001dB,-7.92999409351175e+000°)	(-2.13969474147440e+001dB,-1.78722797344411e+002°)
1.04712854805090e+002	(-3.70731788045917e+001dB,7.53967862084927e+001°)	(-2.16717023276385e+001dB,-8.11227608661204e+000°)	(-3.70731788045917e+001dB,7.53967862084927e+001°)	(-2.16717023276385e+001dB,-8.11227608661204e+000°)	(-2.13891630290537e+001dB,-1.78713344302544e+002°)
1.07151930523761e+002	(-3.68861699003634e+001dB,7.50716594107460e+001°)	(-2.16757761385289e+001dB,-8.29863295752582e+000°)	(-3.68861699003634e+001dB,7.50716594107460e+001°)	(-2.16757761385289e+001dB,-8.29863295752585e+000°)	(-2.13811026292537e+001dB,-1.78704921018971e+002°)
1.09647819614318e+002	(-3.66997317249851e+001dB,7.47399748812470e+001°)	(-2.16800378504286e+001dB,-8.48914773511817e+000°)	(-3.66997317249851e+001dB,7.47399748812470e+001°)	(-2.16800378504286e+001dB,-8.48914773511818e+000°)	(-2.13727606187692e+001dB,-1.78697619325523e+002°)
1.12201845430196e+002	(-3.65138874536787e+001dB,7.44016457169258e+001°)	(-2.16844959328740e+001dB,-8.68390457290132e+000°)	(-3.65138874536787e+001dB,7.44016457169258e+001°)	(-2.16844959328740e+001dB,-8.68390457290132e+000°)	(-2.13641316804218e+001dB,-1.78691535883661e+002°)
1.14815362149688e+002	(-3.63286610336650e+001dB,7.40565869452525e+001°)	(-2.16891592185950e+001dB,-8.88298872213990e+000°)	(-3.63286610336650e+001dB,7.40565869452525e+001°)	(-2.16891592185950e+001dB,-8.88298872213988e+000°)	(-2.13552108215050e+001dB,-1.78686772294032e+002°)
1.17489755493953e+002	(-3.61440771948393e+001dB,7.37047157715628e+001°)	(-2.16940369173445e+001dB,-9.08648650108497e+000°)	(-3.61440771948393e+001dB,7.37047157715628e+001°)	(-2.16940369173445e+001dB,-9.08648650108501e+000°)	(-2.13459934218472e+001dB,-1.78683435193889e+002°)
1.20226443461741e+002	(-3.59601614591319e+001dB,7.33459518385878e+001°)	(-2.16991386300891e+001dB,-9.29448526007800e+000°)	(-3.59601614591319e+001dB,7.33459518385878e+001°)	(-2.16991386300891e+001dB,-9.29448526007800e+000°)	(-2.13364752848890e+001dB,-1.78681636340449e+002°)
1.23026877081238e+002	(-3.57769401483963e+001dB,7.29802174982224e+001°)	(-2.17044743635523e+001dB,-9.50707334225152e+000°)	(-3.57769401483963e+001dB,7.29802174982224e+001°)	(-2.17044743635523e+001dB,-9.50707334225150e+000°)	(-2.13266526917746e+001dB,-1.78681492678137e+002°)
1.25892541179417e+002	(-3.55944403906588e+001dB,7.26074380954941e+001°)	(-2.17100545451012e+001dB,-9.72434003954551e+000°)	(-3.55944403906588e+001dB,7.26074380954941e+001°)	(-2.17100545451012e+001dB,-9.72434003954554e+000°)	(-2.13165224584365e+001dB,-1.78683126387545e+002°)
1.28824955169313e+002	(-3.54126901245563e+001dB,7.22275422646226e+001°)	(-2.17158900379641e+001dB,-9.94637554374367e+000°)	(-3.54126901245563e+001dB,7.22275422646226e+001°)	(-2.17158900379641e+001dB,-9.94637554374363e+000°)	(-2.13060819956210e+001dB,-1.78686664913850e+002°)
1.31825673855641e+002	(-3.52317181017810e+001dB,7.18404622369766e+001°)	(-2.17219921567653e+001dB,-1.01732708922238e+001°)	(-3.52317181017810e+001dB,7.18404622369766e+001°)	(-2.17219921567653e+001dB,-1.01732708922238e+001°)	(-2.12953293717755e+001dB,-1.78692240972343e+002°)
1.34896288259165e+002	(-3.50515538873445e+001dB,7.14461341606413e+001°)	(-2.17283726833572e+001dB,-1.04051179081075e+001°)	(-3.50515538873445e+001dB,7.14461341606413e+001°)	(-2.17283726833572e+001dB,-1.04051179081075e+001°)	(-2.12842633786809e+001dB,-1.78699992528634e+002°)
