Freq	I(C1)
1.00000000000000e+002	(-3.74488198866432e+001dB,7.60277224744119e+001°)
1.07977516232771e+002	(-3.68239592988913e+001dB,7.49618308663744e+001°)
1.16591440117983e+002	(-3.62055321841672e+001dB,7.38227681097576e+001°)
1.25892541179417e+002	(-3.55944403906588e+001dB,7.26074380954941e+001°)
1.35935639087853e+002	(-3.49916838890815e+001dB,7.13130703601873e+001°)
1.46779926762207e+002	(-3.43983625728339e+001dB,6.99373409348087e+001°)
1.58489319246111e+002	(-3.38156750465614e+001dB,6.84785087729954e+001°)
1.71132830416178e+002	(-3.32449135058520e+001dB,6.69355652965738e+001°)
1.84784979742229e+002	(-3.26874537860314e+001dB,6.53083926536429e+001°)
1.99526231496888e+002	(-3.21447397237126e+001dB,6.35979239985656e+001°)
2.15443469003188e+002	(-3.16182611645164e+001dB,6.18062966424554e+001°)
2.32630506715363e+002	(-3.11095252922054e+001dB,5.99369865781531e+001°)
2.51188643150958e+002	(-3.06200214608709e+001dB,5.79949110692303e+001°)
2.71227257933203e+002	(-3.01511803683282e+001dB,5.59864852110040e+001°)
2.92864456462524e+002	(-2.97043291642033e+001dB,5.39196191338922e+001°)
3.16227766016838e+002	(-2.92806448480652e+001dB,5.18036452190737e+001°)
3.41454887383360e+002	(-2.88811089548963e+001dB,4.96491694586817e+001°)
3.68694506451957e+002	(-2.85064669066570e+001dB,4.74678476433872e+001°)
3.98107170553497e+002	(-2.81571954073908e+001dB,4.52720946692711e+001°)
4.29866234708228e+002	(-2.78334808079816e+001dB,4.30747428068367e+001°)
4.64158883361278e+002	(-2.75352104824288e+001dB,4.08886709725671e+001°)
5.01187233627272e+002	(-2.72619780509842e+001dB,3.87264307189612e+001°)
5.41169526546464e+002	(-2.70131019427653e+001dB,3.65998950816727e+001°)
5.84341413373517e+002	(-2.67876555307600e+001dB,3.45199535065330e+001°)
6.30957344480193e+002	(-2.65845060943799e+001dB,3.24962704091464e+001°)
6.81292069057961e+002	(-2.64023593009871e+001dB,3.05371175824351e+001°)
7.35642254459641e+002	(-2.62398057885076e+001dB,2.86492829574363e+001°)
7.94328234724281e+002	(-2.60953667278460e+001dB,2.68380513248740e+001°)
8.57695898590894e+002	(-2.59675358342844e+001dB,2.51072473770890e+001°)
9.26118728128793e+002	(-2.58548160420126e+001dB,2.34593282178503e+001°)
1.00000000000000e+003	(-2.57557498230053e+001dB,2.18955112745956e+001°)
1.07977516232771e+003	(-2.56689428188033e+001dB,2.04159239925565e+001°)
1.16591440117983e+003	(-2.55930809999317e+001dB,1.90197632979194e+001°)
1.25892541179417e+003	(-2.55269419499314e+001dB,1.77054550734566e+001°)
1.35935639087853e+003	(-2.54694010961837e+001dB,1.64708063541281e+001°)
1.46779926762207e+003	(-2.54194338030460e+001dB,1.53131452995905e+001°)
1.58489319246111e+003	(-2.53761142372988e+001dB,1.42294460376996e+001°)
1.71132830416178e+003	(-2.53386118446324e+001dB,1.32164371071575e+001°)
1.84784979742229e+003	(-2.53061861674904e+001dB,1.22706934460940e+001°)
1.99526231496888e+003	(-2.52781806110886e+001dB,1.13887127135825e+001°)
2.15443469003188e+003	(-2.52540156412542e+001dB,1.05669772549304e+001°)
2.32630506715363e+003	(-2.52331817844028e+001dB,9.80200329864519e+000°)
2.51188643150958e+003	(-2.52152327015000e+001dB,9.09037906937410e+000°)
2.71227257933203e+003	(-2.51997785260060e+001dB,8.42879347375465e+000°)
2.92864456462524e+003	(-2.51864795902505e+001dB,7.81405691056273e+000°)
3.16227766016838e+003	(-2.51750406139263e+001dB,7.24311560722478e+000°)
3.41454887383360e+003	(-2.51652053903423e+001dB,6.71306071627358e+000°)
3.68694506451957e+003	(-2.51567519785269e+001dB,6.22113323429776e+000°)
3.98107170553497e+003	(-2.51494883901031e+001dB,5.76472564284045e+000°)
4.29866234708228e+003	(-2.51432487471941e+001dB,5.34138102151990e+000°)
4.64158883361278e+003	(-2.51378898798725e+001dB,4.94879025121948e+000°)
5.01187233627272e+003	(-2.51332883275332e+001dB,4.58478781026956e+000°)
5.41169526546464e+003	(-2.51293377070285e+001dB,4.24734656857501e+000°)
5.84341413373518e+003	(-2.51259464106461e+001dB,3.93457190231191e+000°)
6.30957344480193e+003	(-2.51230355984342e+001dB,3.64469538346734e+000°)
6.81292069057961e+003	(-2.51205374515408e+001dB,3.37606824232341e+000°)
7.35642254459641e+003	(-2.51183936558000e+001dB,3.12715475523890e+000°)
7.94328234724281e+003	(-2.51165540875450e+001dB,2.89652567313845e+000°)
8.57695898590894e+003	(-2.51149756763969e+001dB,2.68285177649346e+000°)
9.26118728128794e+003	(-2.51136214224598e+001dB,2.48489761902890e+000°)
1.00000000000000e+004	(-2.51124595478881e+001dB,2.30151550377343e+000°)
1.07977516232771e+004	(-2.51114627651381e+001dB,2.13163972050362e+000°)
1.16591440117983e+004	(-2.51106076463625e+001dB,1.97428106232332e+000°)
1.25892541179417e+004	(-2.51098740803355e+001dB,1.82852163040348e+000°)
1.35935639087853e+004	(-2.51092448050352e+001dB,1.69350992931608e+000°)
1.46779926762207e+004	(-2.51087050055417e+001dB,1.56845625043121e+000°)
1.58489319246111e+004	(-2.51082419682727e+001dB,1.45262833722331e+000°)
1.71132830416178e+004	(-2.51078447837723e+001dB,1.34534732371592e+000°)
1.84784979742229e+004	(-2.51075040913142e+001dB,1.24598393550432e+000°)
1.99526231496888e+004	(-2.51072118594966e+001dB,1.15395494161593e+000°)
2.15443469003188e+004	(-2.51069611977986e+001dB,1.06871984477931e+000°)
2.32630506715363e+004	(-2.51067461947620e+001dB,9.89777797347693e-001°)
2.51188643150958e+004	(-2.51065617790591e+001dB,9.16664730062138e-001°)
2.71227257933203e+004	(-2.51064036002283e+001dB,8.48950681023110e-001°)
2.92864456462524e+004	(-2.51062679263039e+001dB,7.86237312504820e-001°)
3.16227766016838e+004	(-2.51061515559587e+001dB,7.28155603694259e-001°)
3.41454887383360e+004	(-2.51060517431066e+001dB,6.74363707901895e-001°)
3.68694506451958e+004	(-2.51059661322052e+001dB,6.24544963325639e-001°)
3.98107170553497e+004	(-2.51058927027417e+001dB,5.78406046982692e-001°)
4.29866234708228e+004	(-2.51058297216029e+001dB,5.35675262044451e-001°)
4.64158883361278e+004	(-2.51057757022109e+001dB,4.96100949296379e-001°)
